canonical_name,district_2026,region_rules_2025,zone_landmarks_2025,base_price,base_price_precompression,points_2025,nearest_mtr,walk_from_mtr_min,eta_from_bni_min,task_type,aliases,notes,task_description
United Centre,Admiralty,HK Island,Zone 2,10,10,1,Admiralty,0,5,photo,United Center,MTR-connected,Take a photo with your team anywhere the 'United Centre' sign is clearly visible. All team members must appear. The sign must be clearly visible.
Pacific Place,Admiralty,HK Island,Zone 2,10,10,1,Admiralty,0,9,photo,Pacific place,MTR-connected,"Take a photo with Pacific Place in the background, each team member forming a 'P' shape with your hands (e.g., one line vertical, one line curved/horizontal to make the loop of the P)."
The Henderson,Admiralty,HK Island,Zone 2,10,10,1,Admiralty,0,7,photo,,Listed under Central on the Landmarks tab; grouped with Admiralty for walking distance,Take a photo with your team at the water feature/fountain in front of the building. All team members must appear. The water feature must be clearly visible.
Lan Kwai Fong,Central,HK Island,Zone 2,10,10,1,Central,6,11,photo,LKF,,Take a photo of your team forming a human staircase on the slope or steps anywhere in the LKF area. Arrange yourselves at different heights so that the group looks like a staircase. Make sure the Lan Kwai Fong street scene is visible in the background.
Central Market,Central,HK Island,Zone 2,10,10,1,Central,8,13,detail,,,"Take a high-angle photo of your team spread out on the heritage staircase. The photographer must shoot from above, and the staircase must be clearly visible."
Tai Kwun,Central,HK Island,Zone 2,20,20,2,Central,11,16,riddle,Tai Kwun (Prison),,Record a 10 second silent 'detective exploration' video. All members must appear at least once (can be in different shots). No talking. Heritage buildings must be visible.
AIA Ferris Wheel,Central,HK Island,Zone 2,30,30,3,Central,12,17,photo,Hong Kong Observation|AIA Ferris Wheel + Pier|HK observatory wheel,,"Take a photo of your whole team jumping in the air together, with the AIA Ferris wheel clearly visible in the background. Everyone should try to jump, but it's okay if not all members are fully off the ground."
Vission Bakery,Central,HK Island,Zone 2,30,40,4,Central,12,18,riddle,Vission,Spelling confirmed 2026-08-31 - see docs/2025/data-audit.md item 7.,Take a photo with your team in front of the Vision pastry shop clearly visible.
Man Mo Temple,Sheung Wan,HK Island,Zone 2,30,30,3,Sheung Wan,8,15,riddle,Man Mo temple,,Make a 15 second video where each member shows their one-word wish on their phone. Each member must have their own unique wish (no sharing the same wish). All members must appear at least once (same or different frames). The temple facade must be visible. Use your phone creatively!
Hollywood Road Park,Sheung Wan,HK Island,Zone 2,20,20,2,Sheung Wan,9,16,photo,Hollywood Road Soho,,"Take a photo of your team doing tai chi poses. The park background must be clearly visible. All members must appear. Poses are up to the team, but must be tai chi-inspired."
PMQ,Sheung Wan,HK Island,Zone 2,30,30,3,Sheung Wan,10,18,detail,,,Take a photo with your team at a staircase with murals. All team members must appear. The staircase and mural must be clearly visible.
